Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended_Alysis,Rhizome (Y/N),Slice Height (cm; if bag says otherwise),Total Dry Weight (g),Rhizome (g),Total Sediment Weight (g),Pebbles (g),Gravel (g),Coarse Sand (g),Medium Sand (g),Fine Sand (g),Silt/Mud (g),Fraction of Pebbles,Fraction of Gravel,Fraction of Coarse Sand ,Fraction of Medium Sand,Fraction of Fine Sand,Fraction of Silt/Mud ,Qualtiy Control Chedck,
5/19/2020,SMARA,3,6,9,grainsize ,N,2,45.8455,0,45.8455,0,0.0367,7.6437,10.3338,26.5391,0.748,0,0.0008,0.1667,0.2254,0.5789,0.0163,0.9881,
5/19/2020,SMARA,3,11,4,grainsize ,Y,2,46.4545,0,46.4545,0,0.021,3.6721,12.8742,29.0946,0.4803,0,0.0005,0.079,0.2771,0.6263,0.0103,0.9933,
5/20/2020,SMARA,2,5,9,grainsize ,N,2,48.3572,0,48.3572,0,0.0428,6.3395,14.1766,26.0865,1.2089,0,0.0009,0.1311,0.2932,0.5395,0.025,0.9896,
5/20/2020,SMARA,2,10,4,grainsize ,Y,2,52.2139,0,52.2139,0,0.0994,3.0755,14.0549,33.8636,0.866,0,0.0019,0.0589,0.2692,0.6486,0.0166,0.9951,
5/20/2020,SMAR03,1,4,14,grainsize ,N,2,45.375,0,45.375,0,0.0505,7.2355,14.2854,22.7771,0.8941,0,0.0011,0.1595,0.3148,0.502,0.0197,0.9971,
5/20/2020,SMAR03,1,14,9,grainsize ,N,2,47.007,0,47.007,0,0.0458,4.1508,14.3869,27.555,0.7021,0,0.001,0.0883,0.3061,0.5862,0.0149,0.9965,
5/20/2020,SMAR03,1,19,4,grainsize ,Y,2,40.9222,0,40.9222,0.2366,0.0641,2.7291,13.6509,23.366,0.6993,0.0058,0.0016,0.0667,0.3336,0.571,0.0171,0.9957,
5/28/2020,SMAR25,1,6,14,grainsize ,N,2,43.2931,0,43.2931,0,0.2053,10.8181,17.4508,13.7826,0.7611,0,0.0047,0.2499,0.4031,0.3184,0.0176,0.9936,
5/28/2020,SMAR25,1,11,9,grainsize ,N,2,44.6151,0,44.6151,0,0.471,10.6115,18.7365,14.0793,0.5869,0,0.0106,0.2378,0.42,0.3156,0.0132,0.9971,
5/28/2020,SMAR25,1,16,4,grainsize ,Y,2,38.9293,0.0416,38.8877,0,0.0656,6.015,14.6516,14.3133,0.7496,0,0.0017,0.1547,0.3768,0.3681,0.0193,0.9205,
6/4/2020,SMAR14,3,4,9,grainsize ,N,2,46.118,0.0108,46.1072,0,0.0293,11.9258,19.9399,13.5307,0.542,0,0.0006,0.2586,0.4324,0.2934,0.0118,0.9967,
6/4/2020,SMAR14,3,9,4,grainsize ,Y,2,33.8456,0.1703,33.6753,0.5685,0.0157,7.1054,13.8909,11.5512,0.5337,0.0168,0.0005,0.2099,0.4104,0.3413,0.0158,0.9947,
6/5/2020,SMARB,1,4,19,grainsize ,N,2,48.1819,0,48.1819,0,0.0365,8.7999,15.502,22.9851,0.8412,0,0.0008,0.1826,0.3217,0.477,0.0175,0.9996,
6/5/2020,SMARB,1,9,14,grainsize ,N,2,41.0514,0,41.0514,0,1.372,7.6167,15.6729,16.9425,0.6586,0,0.0334,0.1855,0.3818,0.4127,0.016,1.0295,
6/5/2020,SMARB,1,14,9,grainsize ,N,2,44.6234,0,44.6234,7.831,0.4838,8.7998,14.0575,20.0741,0.5574,0.1755,0.0108,0.1972,0.315,0.4499,0.0125,1.1609,
